AP Name,Status,Total user,Availability
CMU_AGR_AGRI_AP5164,"up 33d,9h,54m",0,98.92%
CMU_AGR_AGRI_AP5165,"up 33d,9h,54m",0,98.91%
CMU_AGR_AGRI_AP5166,"up 33d,9h,54m",1,98.34%
CMU_AGR_AGRI_AP5167,"up 33d,9h,54m",1,97.95%
CMU_AGR_AGRI_AP5168,"up 70d,13h,4m",3,98.59%
CMU_AGR_AGRI_AP5169,"up 6d,19h,24m",0,97.56%
CMU_AGR_AGRI_AP5170,"up 33d,9h,54m",0,98.96%
CMU_AGR_AGRI_AP5171,"up 33d,9h,54m",0,99.00%
CMU_AGR_AGRI_AP5172,"up 70d,13h,4m",0,99.32%
CMU_AGR_AGRI_AP5173,"up 33d,9h,54m",1,98.02%
CMU_AGR_AGRI_AP5174,"up 17d,19h,19m",0,97.61%
CMU_AGR_AGRI_AP5175,"up 33d,9h,54m",0,97.67%
CMU_AGR_AGRI_AP5176,"up 6d,19h,24m",0,99.28%
CMU_AGR_AGRI_AP5177,"up 1d,19h,24m",3,97.45%
CMU_AGR_AGRI_AP5178,"up 33d,9h,54m",0,97.49%
CMU_AGR_AGRI_AP5179,"up 70d,13h,4m",1,99.22%
CMU_AGR_AGRI_AP5180,"up 33d,9h,54m",0,96.52%
CMU_AGR_AGRI_AP5181,"up 8d,19h,24m",0,98.63%
CMU_AGR_AGRI_AP5182,"up 70d,12h,44m",0,98.62%
CMU_AGR_AGRI_AP5183,"up 6d,19h,24m",0,97.58%
CMU_AGR_AGRI_AP5184,"up 6d,19h,24m",0,97.75%
CMU_AGR_AGRI_AP5185,"up 70d,12h,44m",1,99.14%
CMU_AGR_AGRI_AP5186,"up 70d,12h,44m",0,99.13%
CMU_AGR_AGRI_AP5187,"up 70d,12h,44m",0,99.06%
CMU_AGR_AGRI_AP5188,"up 70d,12h,44m",0,98.20%
CMU_AGR_AGRI_AP5189,"up 70d,12h,44m",0,99.02%
CMU_AGR_AGRI_AP5190,"up 18d,15h,4m",0,98.98%
CMU_AGR_AGRI_AP5191,"up 18d,15h,4m",0,98.56%
CMU_AGR_AGRI_AP5192,"up 18d,15h,4m",0,98.99%
CMU_AGR_AGRI_AP5193,"up 18d,15h,4m",0,98.99%
CMU_AGR_AGRI_AP5194,"up 2d,19h,24m",0,98.59%
CMU_AGR_AGRI_AP5195,"up 18d,15h,4m",0,98.86%
CMU_AGR_AGRI_AP5196,"up 18d,15h,4m",12,98.98%
CMU_AGR_AGRI_AP5197,"up 18d,15h,4m",0,98.96%
CMU_AGR_AGRI_AP5198,"up 9d,12h,54m",0,98.85%
CMU_AGR_AGRI_AP5199,"up 18d,15h,4m",0,98.83%
CMU_AGR_AGRI_AP5200,"up 8d,7h,34m",0,97.02%
CMU_AGR_AGRI_AP5201,"up 2d,19h,24m",0,97.65%
CMU_AGR_AGRI_AP5202,"up 8d,7h,34m",0,98.84%
CMU_AGR_AGRI_AP5203,"up 2d,19h,24m",0,97.67%
CMU_AGR_AGRI_AP5204,"up 2d,19h,24m",0,96.20%
CMU_AGR_AGRI_AP5205,"up 2d,19h,24m",0,97.80%
CMU_AGR_AGRI_AP5206,"up 9d,19h,9m",0,97.86%
CMU_AGR_AGRI_AP5207,"up 70d,13h,4m",0,99.12%
CMU_AGR_AGRI_AP5208,"up 6d,19h,24m",0,98.53%
CMU_AGR_AGRI_AP5209,"up 70d,13h,4m",0,98.83%
CMU_AGR_AGRI_AP5210,"up 70d,13h,4m",0,99.13%
CMU_AGR_AGRI_AP5211,"up 6d,19h,24m",0,98.56%
CMU_AGR_AGRI_AP5212,"up 13d,8h,4m",0,98.56%
CMU_AGR_AGRI_AP5213,"up 11d,7h,34m",0,98.65%
CMU_AGR_AGRI_AP5214,"up 2d,19h,24m",0,98.56%
CMU_AGR_AGRI_AP5215,"up 11d,7h,34m",0,98.66%
CMU_AGR_AGRI_AP5216,"up 33d,9h,59m",0,98.76%
CMU_AGR_AGRI_AP5217,"up 33d,9h,59m",1,98.76%
CMU_AGR_AGRI_AP5218,"up 6d,19h,24m",0,97.59%
CMU_AGR_AGRI_AP5219,"up 6d,19h,24m",0,97.69%
CMU_AGR_AGRI_AP5220,"up 6d,19h,24m",0,97.18%
CMU_AGR_AGRI_AP5221,"up 6d,19h,24m",0,97.32%
CMU_AGR_AGRI_AP5222,"up 14d,19h,24m",0,96.30%
CMU_AGR_AGRI_AP5223,"up 70d,13h,4m",1,98.80%
CMU_AGR_AGRI_AP5224,"up 70d,13h,4m",14,97.76%
CMU_AGR_AGRI_AP6500,"up 2d,19h,24m",0,98.79%
CMU_AGR_AGRI_AP6769,"up 70d,12h,44m",0,99.86%
CMU_AGR_AGRI_AP7728,"up 70d,13h,4m",0,98.72%
CMU_AGR_AGRI_AP8080,"up 25d,19h,24m",0,98.89%
CMU_AGR_AGRI_AP8081,"up 2d,19h,24m",0,98.96%
CMU_AGR_AGRI_AP8082,"up 2d,19h,24m",3,98.82%
CMU_AGR_AGRI_AP8083,"up 8d,7h,39m",1,98.31%
CMU_AGR_AGRI_AP8084,"up 3d,9h,29m",0,98.76%
CMU_AGR_AGRI_AP8100,"up 25d,19h,24m",9,80.24%
CMU_AGR_AGRI_AP8206,"up 7d,19h,24m",0,99.65%
CMU_AGR_AGRI_AP8207,"up 8d,19h,24m",0,99.65%
CMU_AGR_AGRI_AP8209,"up 70d,13h,4m",4,99.95%
CMU_AGR_AGRI_AP8210,"up 70d,13h,4m",1,99.94%
CMU_AGR_AGRI_AP8214,"up 70d,13h,4m",1,99.97%
CMU_AGR_AGRI_AP8215,"up 70d,13h,4m",0,99.97%
CMU_AGR_AGRI_AP8300,"up 16d,19h,24m",0,99.32%
CMU_AGR_AGRI_AP8302,"up 33d,9h,59m",1,78.80%
CMU_AGR_AGRI_AP8303,"up 6d,19h,24m",0,98.17%
CMU_AGR_AGRI_AP8304,"up 2d,19h,24m",0,70.02%
CMU_AGR_AGRI_AP8305,"up 1d,13h,39m",0,99.65%
CMU_AGR_ARTMU_AP0323,"up 40d,10h,19m",18,97.75%
CMU_AGR_ARTMU_AP1048,"up 30d,12h,59m",0,98.10%
CMU_AGR_ARTMU_AP1049,"up 30d,12h,59m",0,98.11%
CMU_AGR_ARTMU_AP1050,"up 30d,12h,59m",2,97.38%
CMU_AGR_ARTMU_AP1051,"up 30d,12h,59m",5,97.39%
CMU_AGR_ARTMU_AP1052,"up 30d,12h,59m",7,96.60%
CMU_AGR_ARTMU_AP1053,"up 30d,12h,59m",4,96.62%
CMU_AGR_ARTMU_AP1054,"up 30d,12h,59m",5,96.60%
CMU_AGR_ARTMU_AP1055,"up 40d,10h,19m",9,97.79%
CMU_AGR_ARTMU_AP1056,"up 40d,10h,19m",4,98.37%
CMU_AGR_ARTMU_AP1058,"up 8d,19h,24m",3,95.21%
CMU_AGR_ARTMU_AP4416,"up 40d,10h,19m",0,97.97%
CMU_AGR_ARTMU_AP4417,"up 7d,19h,24m",11,97.88%
CMU_AGR_ASSET_AP6471,"up 124d,19h,24m",6,99.78%
CMU_AGR_ASSET_AP6472,"up 135d,8h,24m",1,99.70%
CMU_AGR_ASSET_AP6473,"up 135d,8h,24m",11,99.61%
CMU_AGR_ASSET_AP6474,"up 135d,8h,24m",0,99.82%
CMU_AGR_ASSET_AP6475,"up 135d,8h,24m",0,99.82%
CMU_AGR_ASSET_AP6476,"up 135d,8h,24m",0,99.82%
CMU_AGR_ASSET_AP6477,"up 135d,8h,24m",0,99.12%
CMU_AGR_BA_AP0195,"up 14d,19h,24m",0,98.42%
CMU_AGR_BA_AP0196,"up 12d,19h,24m",0,98.28%
CMU_AGR_BA_AP0197,"up 70d,12h,59m",3,98.28%
CMU_AGR_BA_AP0198,"up 6d,19h,24m",0,98.18%
CMU_AGR_BA_AP0199,"up 6d,19h,24m",0,98.29%
CMU_AGR_BA_AP0200,"up 6d,19h,24m",0,98.21%
CMU_AGR_BA_AP0201,"up 6d,19h,24m",0,98.07%
CMU_AGR_BA_AP1116,"up 18d,15h,4m",1,98.65%
CMU_AGR_BA_AP1117,"up 18d,15h,4m",0,96.66%
CMU_AGR_BA_AP1118,"up 2d,19h,24m",0,98.76%
CMU_AGR_BA_AP1119,"up 18d,15h,4m",1,98.75%
CMU_AGR_BA_AP1120,"up 2d,19h,24m",0,98.81%
CMU_AGR_BA_AP1121,"up 2d,19h,24m",0,97.36%
CMU_AGR_BA_AP1122,"up 2d,19h,24m",0,98.30%
CMU_AGR_BA_AP1123,"up 18d,15h,4m",0,98.46%
CMU_AGR_BA_AP1124,"up 2d,19h,24m",0,98.26%
CMU_AGR_BA_AP1125,"up 2d,19h,24m",0,98.30%
CMU_AGR_BA_AP1126,"up 2d,19h,24m",0,98.62%
CMU_AGR_BA_AP1127,"up 2d,19h,24m",0,98.57%
CMU_AGR_BA_AP1128,"up 2d,19h,24m",0,98.31%
CMU_AGR_BA_AP1129,"up 2d,19h,24m",0,98.32%
CMU_AGR_BA_AP1130,"up 2d,19h,24m",0,98.34%
CMU_AGR_BA_AP1131,"up 6d,19h,24m",0,98.61%
CMU_AGR_BA_AP1132,"up 70d,13h,4m",0,98.86%
CMU_AGR_BA_AP1133,"up 6d,19h,24m",0,98.28%
CMU_AGR_BA_AP1134,"up 6d,19h,24m",0,97.90%
CMU_AGR_BA_AP1135,"up 70d,13h,4m",0,98.33%
CMU_AGR_BA_AP1136,"up 70d,13h,4m",0,98.86%
CMU_AGR_BA_AP1137,"up 26d,19h,24m",0,98.39%
CMU_AGR_BA_AP1138,"up 6d,19h,24m",0,98.32%
CMU_AGR_BA_AP1139,"up 14d,19h,24m",28,98.55%
CMU_AGR_BA_AP1140,"up 70d,13h,4m",11,98.18%
CMU_AGR_BA_AP1141,"up 46d,3h,39m",0,98.65%
CMU_AGR_BA_AP1142,"up 46d,3h,39m",1,97.49%
